id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365;number_of_reviews_ltm;license
42734434;Charming apartment in the heart of Gràcia;340346100;Victor;Gràcia;la Vila de Gràcia;41,40667;2,16002;Entire home/apt;150;3;0;;;1;0;0;HUTB-001185
42766670;Double Room next to Ciutadella Park;340387517;Ramon;Sant Martí;el Parc i la Llacuna del Poblenou;41,39095;2,18595;Private room;35;1;0;;;1;0;0;Exempt
43483528;Hotel Arya, Double Exterior Room;340465932;Ona Hotels;Sants-Montjuïc;Sants - Badal;41,37616;2,12393;Private room;8478;1;0;;;5;0;0;HB-004622
43483536;Hotel Arya, Double Room with Balcony;340465932;Ona Hotels;Les Corts;la Maternitat i Sant Ramon;41,37648;2,1239;Private room;9100;1;1;16/08/2021;0,08;5;0;0;HB-004622
43483550;Hotel Arya, Twin Inside Room;340465932;Ona Hotels;Sants-Montjuïc;Sants - Badal;41,37462;2,12355;Private room;9100;1;0;;;5;0;0;HB-004622
43483560;Hotel Arya, Twin Exterior Room;340465932;Ona Hotels;Sants-Montjuïc;Sants - Badal;41,3746;2,12571;Private room;9100;1;0;;;5;0;0;HB-004622
43483589;Hotel Arya, Twin Room with Balcony;340465932;Ona Hotels;Sants-Montjuïc;Sants - Badal;41,37443;2,12544;Private room;9100;1;0;;;5;0;0;HB-004622
43479394;Hotel Mosaic, Inside Double Room;340466110;ONA Hotels;Eixample;la Dreta de l'Eixample;41,39147;2,16259;Private room;9200;1;1;31/05/2021;0,06;5;365;0;HB-004622
43479417;Hotel Mosaic, Double Room with Terrace;340466110;ONA Hotels;Eixample;la Dreta de l'Eixample;41,39162;2,16122;Private room;9200;1;0;;;5;365;0;HB-004622
43479419;Hotel Mosaic, Double Room with Balcony;340466110;ONA Hotels;Eixample;la Dreta de l'Eixample;41,39148;2,16131;Private room;9200;1;0;;;5;365;0;HB-004622
43479422;Hotel Mosaic, Suite with Terrace;340466110;ONA Hotels;Eixample;la Dreta de l'Eixample;41,39364;2,16108;Private room;9200;1;0;;;5;365;0;HB-004622
43479425;Hotel Mosaic, Suite with Balcony;340466110;ONA Hotels;Eixample;la Dreta de l'Eixample;41,39364;2,16105;Private room;9200;1;0;;;5;365;0;HB-004622
43479280;ONA Living Barcelona, Apartment (2 people);340498535;Ona;Sants-Montjuïc;la Marina de Port;41,35979;2,12768;Entire home/apt;9211;1;0;;;6;0;0;ATB-000081
43479358;ONA Living BCN, 1-Bedroom Apartment (3-4 people);340498535;Ona;Sants-Montjuïc;la Marina de Port;41,3596;2,12614;Entire home/apt;9211;1;0;;;6;0;0;ATB-000081
45853411;Ona Apart-Home Gran Via-Fira 2;340498535;Ona;Sants-Montjuïc;la Marina de Port;41,3582;2,12613;Entire home/apt;80;28;0;;;6;0;0;ATB-000081
46329361;Ona Apart- home Gran Via -  Fira 17;340498535;Ona;Sants-Montjuïc;la Marina de Port;41,35799;2,12781;Entire home/apt;90;5;6;12/06/2022;0,36;6;0;1;ATB-000081
46329611;Ona Apart- home Gran Via - Fira 18;340498535;Ona;Sants-Montjuïc;la Marina de Port;41,36009;2,12813;Entire home/apt;80;5;1;18/08/2021;0,08;6;0;0;ATB-000081
46329708;Ona Apart- home Gran Via - Fira 19;340498535;Ona;Sants-Montjuïc;la Marina de Port;41,35819;2,12618;Entire home/apt;80;5;2;21/09/2021;0,17;6;0;2;ATB-000081
49882867;City center Penthouse a spacious  Privat Room35m2!;340557469;Ricardo;Eixample;l'Antiga Esquerra de l'Eixample;41,38558741;2,156089066;Private room;103;2;2;21/08/2022;2;1;0;2;
42782544;Very clean quite and bright private room;340736361;Hessam;Les Corts;la Maternitat i Sant Ramon;41,37933;2,1263;Private room;20;1;1;23/07/2020;0,04;3;0;0;Exempt
42822509;Private clean private room in share appartment;340736361;Hessam;Les Corts;la Maternitat i Sant Ramon;41,38106;2,1259;Private room;25;2;0;;;3;0;0;Exempt
42866611;Near camp nou, clean private room;340736361;Hessam;Les Corts;la Maternitat i Sant Ramon;41,37936;2,12521;Private room;18;2;0;;;3;0;0;Exempt
42786659;Private room, 1600m SEA, 15 min by metro to centre;340774046;Slava;Sant Andreu;el Bon Pastor;41,43246;2,22255;Private room;51;1;6;01/09/2022;0,2;2;2;3;Exempt
7,01185E+17;Nice private room! near the metro!  near the sea!;340774046;Slava;Sant Andreu;el Bon Pastor;41,4336304;2,219734295;Private room;51;1;1;27/08/2022;1;2;4;1;
42807885;Cozy apartment in Gracia 1-3;340955357;Dmitriy&Jaume;Gràcia;la Vila de Gràcia;41,39727;2,15966;Entire home/apt;138;3;32;26/08/2022;1,07;4;56;28;HUTB-001698
42808385;Magnificent apartment in Gracia 2-3;340955357;Dmitriy&Jaume;Gràcia;la Vila de Gràcia;41,39922;2,15948;Entire home/apt;128;3;23;16/08/2022;0,78;4;61;18;HUTB-001690
